entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
CoQuan-1,CoQuan,Chính phủ,Chính phủ,112025,heuristic,0.75,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
CoQuan-2,CoQuan,Tài chính,Tài chính,112025,heuristic,0.75,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
NguoiKy-3,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,112025,heuristic,0.75,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
DoiTuongApDung-4,DoiTuongApDung,Trung ương,Trung ương,112025,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
DoiTuongApDung-5,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,112025,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
DoiTuongApDung-6,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,112025,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
DoiTuongApDung-7,DoiTuongApDung,Quỹ tín dụng nhân dân,Quỹ tín dụng nhân dân,112025,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
LinhVuc-8,LinhVuc,Tài chính,Tài chính,112025,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
CoQuan-9,CoQuan,Bộ Tài chính,Bộ Tài chính,112025,heuristic,0.8,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
NguoiKy-10,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,112924,heuristic,0.75,"BỘ TÀI CHÍNH CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 105/2016/TT-BTC Hà Nội, ngày 29 tháng 06 năm 2016 THÔNG TƯ HƯỚNG DẪN HOẠT ĐỘNG ĐẦU TƯ GIÁN TIẾP RA NƯỚC NGOÀI CỦA TỔ CHỨC KINH DOANH CHỨNG K"
