document_id,entity,entity_type,source,method,confidence,evidence
112025,Chính phủ,CoQuan,content_clean,heuristic,0.75,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
112025,Tài chính,CoQuan,content_clean,heuristic,0.75,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
112025,Nguyễn Xuân Phúc,NguoiKy,content_clean,heuristic,0.75,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
112025,Trung ương,DoiTuongApDung,content_clean,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
112025,Tổ chức tín dụng,DoiTuongApDung,content_clean,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
112025,Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
112025,Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
112025,Tài chính,LinhVuc,content_clean,heuristic,0.7,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
112025,Bộ Tài chính,CoQuan,content_clean,heuristic,0.8,"CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 73/2016/NĐ-CP Hà Nội, ngày 01 tháng 7 năm 2016 NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM VÀ LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐI"
112924,Bộ Tài chính,CoQuan,content_clean,heuristic,0.75,"BỘ TÀI CHÍNH CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 105/2016/TT-BTC Hà Nội, ngày 29 tháng 06 năm 2016 THÔNG TƯ HƯỚNG DẪN HOẠT ĐỘNG ĐẦU TƯ GIÁN TIẾP RA NƯỚC NGOÀI CỦA TỔ CHỨC KINH DOANH CHỨNG K"
